route,sample_id,first_partial_ms,final_after_eos_ms,expected,recognized
system,01,,,,
system,02,,,,
system,03,,,,
system,04,,,,
system,05,,,,
system,06,,,,
system,07,,,,
system,08,,,,
system,09,,,,
system,10,,,,
system,11,,,,
system,12,,,,
system,13,,,,
system,14,,,,
system,15,,,,
system,16,,,,
system,17,,,,
system,18,,,,
system,19,,,,
system,20,,,,
paraformer,01,,,,
paraformer,02,,,,
paraformer,03,,,,
paraformer,04,,,,
paraformer,05,,,,
paraformer,06,,,,
paraformer,07,,,,
paraformer,08,,,,
paraformer,09,,,,
paraformer,10,,,,
paraformer,11,,,,
paraformer,12,,,,
paraformer,13,,,,
paraformer,14,,,,
paraformer,15,,,,
paraformer,16,,,,
paraformer,17,,,,
paraformer,18,,,,
paraformer,19,,,,
paraformer,20,,,,
